User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text,Sentiment,Kategori_Operasional,Urgency_Level
Shera Natalia,Ya,13,1,sebulan lalu,Ya,"Harga emang gak dipasang, jd sangat menjebak customer. Cukup 1x aja kesini. Sangat2 tidak rekomendasi. Rasa sangat2 B aja, tidak ada yg istimewa. Ini padahal resto biasa bukan resto mewah. Bisa kalian total sendiri nota2 ini abis berapa. …",Negatif,"Harga, Produk/Makanan",Sedang
putri retnosari,Ya,11,1,11 bulan lalu,Ya,"Hati² harga tidak masuk akal.. ketika makan di sana, saya tanya harga tidak dijawab. Katanya duduk saja, duduk saja. Ditanyai harganya marah². Ternyata betul 1 porsi nasi putih aja 14.000. Lele 1 ekor 18.000. Bebek 1 dada. 50.000 …",Negatif,"Pelayanan/Staf, Harga",Sedang
Sherryl S,Ya,18,4,5 bulan lalu,Ya,"comfort food!👍🏻, cuman bumbu ikan bakar madunya kek kurang berasa tapi kalo soal tekstur oke bgt, agak kaget harga makanannya soalnya gada harga tertera🤣 tp oke lahh worth to try kalo bingung cr makan malem"" karna dia 24 jam …",Positif,"Produk/Makanan, Harga",Rendah
kOko velloz_,Bukan,1,1,3 bulan lalu,Ya,"gila sih ini, niat jualan harga gak masuk akal, tempat makan pinggiran jln, bukan tempat mewah layak'nya restoran tapi yg bikin kaget, mkan cuma dua org menu sambelan dua porsi, lauk bebek sedang sama lele kecil dan dua ayam plus tambah …",Negatif,"Harga, Suasana/Tempat",Sedang
Glenn Wibowo,Bukan,3,1,4 bulan lalu,Ya,"Maaf, buat makanan semahal ini, bintang satu aja masih terlalu bagus. Bebek goreng @45.000/potong. Nasi @14.000. Es Teh @13.000. Es Jeruk Nipis @27.000. Hati2 yang belum pernah makan di sini.",Negatif,"Harga, Produk/Makanan",Sedang
Nindi Tulus,Bukan,1,1,6 bulan lalu,Ya,Ngawur kalo kasih harga. Minuman es jeruk 27.000. wow banget.. nasi putih 14.000 wooww,Negatif,"Harga, Produk/Makanan",Sedang
Umi Khumaidah,Bukan,4,1,4 bulan lalu,Ya,"Untuk yang lain yang mau ke sini harap di pikir"" lagi,harga ga masuk akal bgt bebek dada 3 150k, tempatnya kotor, fasilitas ga lengkap,es jeruk 27k padahal pakek jeruk nipis bukan jeruk buah,dan di buku menu tidak ada keterangan …",Negatif,"Harga, Suasana/Tempat",Sedang
vivi sandradewi,Bukan,10,1,2 bulan lalu,Ya,"Ya ampun mahal banget , nasi 15rb , ikan dorang bilang 50rb ternyata 80 rb padahal ga besar",Negatif,"Harga, Produk/Makanan",Sedang
Fanis Rusmanu,Ya,12,1,seminggu lalu,Tidak,Hati hati yg makan disini Makanan gk ada rasanya harga mahal banget menang foto sama artis doang Nasi ayam 10 porsi …,Negatif,"Harga, Produk/Makanan",Sedang
rifatul fitriah,Bukan,8,1,7 bulan lalu,Ya,"Kaget bangeett🤣 Pesen 1 ekor ikan bakar ukuran sedang-besar, 3 es jeruk, 3 nasi 415.000 😆😆 Ini real ga bohong sayang bgt notanya dibuang anak saya di restonya. Rasanya …",Negatif,"Harga, Produk/Makanan",Sedang
