User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text
"Shera Natalia","Ya","13","1","sebulan lalu","Ya","Harga emang gak dipasang, jd sangat menjebak customer. Cukup 1x aja kesini. Sangat2 tidak rekomendasi. Rasa sangat2 B aja, tidak ada yg istimewa. Ini padahal resto biasa bukan resto mewah. Bisa kalian total sendiri nota2 ini abis berapa. …"
"putri retnosari","Ya","11","1","11 bulan lalu","Ya","Hati² harga tidak masuk akal.. ketika makan di sana, saya tanya harga tidak dijawab. Katanya duduk saja, duduk saja. Ditanyai harganya marah². Ternyata betul 1 porsi nasi putih aja 14.000. Lele 1 ekor 18.000. Bebek 1 dada. 50.000 …"
"Sherryl S","Ya","18","4","5 bulan lalu","Ya","comfort food!👍🏻, cuman bumbu ikan bakar madunya kek kurang berasa tapi kalo soal tekstur oke bgt, agak kaget harga makanannya soalnya gada harga tertera🤣 tp oke lahhh worth to try kalo bingung cr makan malem"" karna dia 24 jam …"
"kOko velloz_","Bukan","1","1","3 bulan lalu","Ya","gila sih ini, niat jualan harga gak masuk akal, tempat makan pinggiran jln, bukan tempat mewah layak'nya restoran tapi yg bikin kaget, mkan cuma dua org menu sambelan dua porsi, lauk bebek sedang sama lele kecil dan dua ayam plus tambah …"
"Glenn Wibowo","Bukan","3","1","4 bulan lalu","Ya","Maaf, buat makanan semahal ini, bintang satu aja masih terlalu bagus. Bebek goreng @45.000/potong. Nasi @14.000. Es Teh @13.000. Es Jeruk Nipis @27.000. Hati2 yang belum pernah makan di sini."
"Nindi Tulus","Bukan","1","1","6 bulan lalu","Ya","Ngawur kalo kasih harga. Minuman es jeruk 27.000. wow banget.. nasi putih 14.000 wooooowwwwww"
"Umi Khumaidah","Bukan","4","1","4 bulan lalu","Ya","Untuk yang lain yang mau ke sini harap di pikir"" lagi,harga ga masuk akal bgt bebek dada 3 150k, tempatnya kotor, fasilitas ga lengkap,es jeruk 27k padahal pakek jeruk nipis bukan jeruk buah,dan di buku menu tidak ada keterangan …"
"vivi sandradewi","Bukan","10","1","2 bulan lalu","Ya","Ya ampun mahal banget , nasi 15rb , ikan dorang bilang 50rb ternyata 80 rb padahal ga besar"
"Fanis Rusmanu","Ya","12","1","seminggu lalu","Tidak","Hati hati yg makan disini Makanan gk ada rasanya harga mahal banget menang foto sama artis doang Nasi ayam 10 porsi …"
"rifatul fitriah","Bukan","8","1","7 bulan lalu","Ya","Kaget bangeeettt🤣 Pesen 1 ekor ikan bakar ukuran sedang-besar, 3 es jeruk, 3 nasi 415.000 😆😆 Ini real ga bohong sayang bgt notanya dibuang anak saya di restonya. Rasanya …"
"Golden Star","Bukan","1","1","4 minggu lalu","Tidak","Hati hati bolo , memilih tempat makan, Sebelum membeli tanyakan harga . Jangan tergoda warung viral banyak foto artis .... …"
"Anne","Ya","184","4","Diedit setahun lalu","Ya","Lelenya dapet 2 soalnya kecil2 tapi tetep kurang sih menurutku dibanding porsi nasinya, hehe. Sambelnya enakkkkk banget dan dapet penuh satu ulekan. Yg aku suka sabunnya gak dicampur air 🤣👍🏻 Oh iya, buka 24 jam! Mantap! …"
"Arif Subagyo","Ya","245","3","setahun lalu","Ya","Sambelan paling manteb rasanya. Harga relative mahal. Gak ada daftar harga, yg pertama kali datang akan kaget. Es jeruk 25rb sepertinya agak mahal. Sekali2 aja kesini kalo lagi pingin sambelan yg enak."
"edy nurtamam","Ya","19","3","2 bulan lalu","Tidak","Lihat harga sebelum makan biar tidak kecewa, lumayan mehong dibanding tempat lain setara. Kemaren berdua habis 200k lebih, menunya Gurami bakar 130k, bebek 1 potong 45k, nasi putih satu porsi 14k, teh anget 10k, sayur, sambel gratis bisa reques pedas atau tidak"
"Eka Hadi Styaningsih","Bukan","6","1","8 bulan lalu","Ya","Gk rekomend sih, karna overprice 😩 harga gk masuk akal. Saran aku mending cari lalapan di lain aja 😭 harga nasi 14rb 😩 es jeruk 27rb 1 gelasnya 😭 …"
"Salma oktaa","Bukan","2","1","3 bulan lalu","Tidak","Sepertinya perlu banyak renovasi di sini, baik dari segi tempat maupun standar kebersihan alat makan. Cobeknya sudah pada grompil tapi masih dipakai. Rasa makanannya flat banget, sambalnya juga kurang bumbu. Dengan harga yang lumayan tinggi, ekspektasi saya jauh di atas ini. Sayang sekali"
"Indri Ani","Ya","23","1","4 bulan lalu","Tidak","Kapok makan disini...utk rasa emang enak tapi klo harga nggak masuk akal jd nyesel krn disana nggak ada menu harganya kita jadi ambil sate2an dan ternyata hrganya luar biasa 🤣 Sate yg hrsnya 5rb ini bisa smpe 40rb 1 tusuk. Sempet kita …"
"Ndramus Thok","Bukan","2","1","5 bulan lalu","Ya","Jangan pernah yg kedua kalinya,.. makanan ga masuk akal. Bebek 1, lele rp.114.000. mending di resto"
"Bayu Himawan","Ya","95","1","setahun lalu","Ya","Pertama kali makan disini hsail dari tanya-tanya orang, memang sudah diberitahu makan disini mahal, tapi karena sudah tengah malam tidak ada yang buka dan penasaran akhirnya kami coba, setelah sampai langsung pesan,  makanan matang, rasa …"
"Ryuniar","Bukan","3","1","6 bulan lalu","Ya","Gilaa pesen gurami 1 dengan harga segitu 🥲 pdhal gurami nya kecil kayak gak sesuai aja dengan tempat nya . Sambel juga gak seberapa enakk …"
"Eryz West","Bukan","6","1","sebulan lalu","Tidak","Harga emang gak dipasang, jd sangat menjebak customer. Rasa sangat2 biasa aja, tidak ada yg istimewa. Ini padahal resto biasa bukan resto mewah. harganya sangat2 tidak masuk akal."
"riyanto openk","Ya","14","1","sebulan lalu","Tidak","Rasa biasa Di menu tidak tercantum harga dan alhasil kena getok mahal Di hargain sendiri"" di nota …"
"Putri Rahmayani","Bukan","4","1","setahun lalu","Ya","Tidak worth it untuk makanan dipinggir jalan, tempat termasuk kumuh tp harga selangit Pesan ikan bakar ukuran sedang 3 ayam goreng 3 potong nasi 6 piring minum 6 …"
"sonny surya","Bukan","5","1","7 bulan lalu","Ya","Untuk pelayanan bagus Untuk rasa biasa Sayang harganya bikin wow. …"
"fransiska herningtyas","Bukan","12","1","4 bulan lalu","Ya","mahal bebek 50 rb, lele 18 rb, nasi 14 ribu. gak usah diulang"
"Siti Nawangsih","Ya","120","5","2 bulan lalu","Ya","Hehe sorry om udah janji lama tapi blm sempat mampir😊✌️ nextime lah tapi wunak ya sambal matahnya,ini prtama kalibya aku makan sambal bawang putih ya itu atau apa kok kenyes"" aku kira kayak kentang malah hehe... porsi nasi ne kakehan bisa sampe sahur inu mah 😊👍👍👍👌 ok deh …"
"Farel Suek","Bukan","2","1","4 minggu lalu","Tidak","Ngerriiii.. Ini mah bukan resto tapi warung hrga. Resto bintang 5.. Tolong utk. Pemkot setempat. Utk d tindk lanjuti. Warung ini. Byr tdk ada korban dusta dr warung harga tdk d terterakan. Kasihan korban selanjutnya. Warung tdk amanah. Tp …"
"Rusyda Taqiyya","Ya","75","1","8 bulan lalu","Ya","Saya percaya2 sama driver yg bawa ke tempat ini. Pas mau bayar, kok tagihannya mahal banget ber lima segini. Es jeruk 27 rebu, nasi 14 ribu. Ikan kerapu yg gong 160.000. Ga ada harga sama sekali terpajang di tempat makannya."
"Avitaning Ayu K","Bukan","5","1","2 bulan lalu","Tidak","Kapok banget makan disini...sangat tidak wajar dan tak masuk akal. Pesan 1 ekor ikan bawal sedang_besar...1 ekor gurami sedang...1 es teh..2 nasi ..3 tahu 3 tempe goreng abisnya 438 .000 …"
"anjni pr","Bukan","7","1","setahun lalu","Ya","MAHAL BGT!!!! harganya gk masuk akal coy 😭 nasi biasanya 5rb disini 13rb pdhl porsinya dikit. es teh 13rb 😭 ayam kecil 34rb.  parah seh …"
"Ermi Herawati","Bukan","2","2","7 bulan lalu","Ya","Overprice, kakap putih 5,3 ons, nasi 2, tahu tempe 2, terong bakar, teh tawar hangat dan jeruk hangat Rp 288.000,-"
"Yudho Kusumo","Bukan","7","1","setahun lalu","Ya","OVERPRICE, rasa di bawah standar, gak worth it dengan harganya, tidak ada pricelist di buku menu, ditanya harga gak jawab, pesen diburu2, milih ikan diambilkan yang besar. …"
"imanuel arnold","Ya","177","3","4 tahun lalu","Ya","Usut punya usut katanya Padin Ikan Goreng ini cukup rame apalagi di kalangan yang kelaparan sehabis ""wisata malam"" karena ya tempat ini buka 24 jam. Lokasinya sendiri lumayan strategis, dari lampu merah perempatan sebelum BG Junction …"
"lilis setyowati","Bukan","2","1","3 bulan lalu","Ya","Mas, jualan sewajarnya saja Sy kaget habis makan lihat notanya segitu, gak sebanding sama makanannya. Cuman bebek saja 60rb, es milo 27rb. Mending tutup saja mas 🥺🙃 GAK WAJAR …"
"Achi 1982 Akhdan","Bukan","10","1","sebulan lalu","Tidak","Baru aja dan pertama kali makan disini, harga bikin shock , ikan kakap merah bakar 5 ons 220 rb, harga blm nasi dan minum, rasa B aja. Gk worthit lah"
"Berdi Simangulun","Ya","56","1","setahun lalu","Ya","Mohon maap sblmny saya hanya riview jujur ssuai kjadian. Baru Datang lgsg diburu2 pilih seafoodnya. Krn kegedean untung gk ambil. Ibunya tidak ramah trkesan nyepeleke kaya kita yg butuh makan. Sy plih air putih panas …"
"Aulia Lia","Bukan","5","1","3 bulan lalu","Tidak","ya allah terkeget kaget loh aku makan di padin ini.. harga kayak makan di restoran mall mall gilak kali harga nya gak masuk akal.. pantesan sekarang warung nya sepi..orang harga nya gak ngotak kali ya...makan …"
"Chandra Nugraha","Ya","375","4","2 tahun lalu","Ya","Lokasinya ada di jalan Kranggan dekat  BG Junction Mall. ada banyak pilihan menu mulai ikan kakap, ikan kerapu, lele, bebek, ayam, tahu, tempe, terong dan yang lainnya, bisa di goreng maupun di bakar. Pilihan sambalnya juga ada banyak mulai …"
"prayogi atika","Bukan","11","1","8 bulan lalu","Ya","Habis makan kaget dengan harga yang tidak logis hehehe.padagal dlu katanya rame skrng sepi bgt pas saya makan tadi. Y SDH di bayar saja sudah kenyang dengan rasa standar sperti penyetan kaki lima pada umumnya, tapi harga restoran bintang …"
"Lintang Pratama","Ya","444","5","Diedit setahun lalu","Ya","Ntah kenapa, sambelnya berubah rasa. Ngga sekental dan pedes ssperti dulu. Pembangunan/renovasi pedestrian juga proyeknya ngga selesai2 sepertinya, membuat selokannya ternganga membuat aroma kurang sedap tercium. Dan seperti biasa, sediakan …"
"rDre kun","Bukan","4","1","4 bulan lalu","Tidak","iseng nyoba mampir kesini karna sepi, ekspektasi ku biar pelayanan maksimal... eh ternyata zonk, makan berdua habis 170rb, sambal nya gk kemakan karena basi, cukup sekali aja sih gk lagi² kesini …"
"Sepdhyo Wahyu","Ya","439","5","4 tahun lalu","Ya","Salah satu tempak makan yang enak di surabaya. Parkiran luas, tempatnya terang, dan buka 24 jam. Ada banyak menu mulai seafood (bakar atau goreng), ayam, bebek, babat, dan lain-lain. Minuman pun bervariasi. Untuk seafood ada dorang, kakap, …"
"FICKA ANDRIA PRATAMA","Ya","42","1","6 bulan lalu","Tidak","Untuk rasa yang biasa saja harganya terlalu tinggi,, Mungkin karena penjual nya sudah sering foto bareng artis ya, jadi kalau makan disini Rasa biasa saja tapi kursi dan meja nya bekas artis 😁😁 …"
"karlina Widiyastuti","Bukan","2","1","setahun lalu","Ya","Makanan penyetan di wilayah Surabaya yg rasanya biasa ,harganya gak masuk akal  sate udang 1 tusuk 40rb,es jeruk 27rb ,nasi putih 1 piring 13 rb,ikan bakar 130rb ,usus ayam 48rb ..semoga bermanfaat"
"edoy ramadhani","Ya","106","4","4 tahun lalu","Ya","Enak, pilihan sambel banyak, ukuran pedes nya itu di atas rata rata, mesen yang sedeng aja rasa pedes ya pooooll, tapi kalo di padu sama nasi dan gurihnya bebek yang di goreng dalam wajan penuh minyak berlemak, rasanya memberikan efek yang …"
"Adityo Pujo","Bukan","6","1","6 bulan lalu","Tidak","rasa lumayan ok , tp untuk ukuran kaki lima harga terlalu overprice , cth 1 sate udang isi 4udang 40 rb, 1 sate usus 48rb . tp ya ga pa2 kalo memang pengen makan yg 24 jam, dan mungkin tamu dr luar kota yang hanya mengandalkan google. tp bukan untuk kaum mendang mending"
"Daffa Reyhan","Bukan","7","1","4 bulan lalu","Tidak","Pesan kerapu 1, nasi putih 3, terong 1, ayam dada 4 total 472 K, kami kira yang buat mahal ikan kerapunya ternyata memang restorannya yang parah kasih harga. Ga lagi2 deh"
"Retno Hesti Puspandari","Ya","140","1","setahun lalu","Ya","Makan disini kita mau pilih makan apa diburu² sama mbak² yg jaga ikannya. Kita tanya harga ikannya brp, jawabnya nanti ditimbang. Trus nanya harga per 100 gram brp, dijawab g tahu. Agak aneh kalau penjual sampe g tahu harga yg dijual. Pas …"
"Sarah Almahyra","Ya","412","2","3 bulan lalu","Tidak","Sebenarnya rasa nya cukup enak. Tapi harganya kurang transparan. Kasirnya ngasih harganya random. …"
"Thyca Chan","Ya","281","2","6 tahun lalu","Ya","Hmmm gmn ya? Sorry to say, ini kemahalan sihh. Semua dihitung satu”. Ayam, nasi, tahu tempe, terong, dll, semua ada hrga nya sendiri..ngk jadi 1 paket. Jadiii makin bnyak ikan yaa makin nambah. Sambel sih oke, bebek & Ayam juga keras, tempe tahu juga B aja. Tempat juga lumayannn sih. Not worth it sih dengan hrga segitu. Sorry 🙏🏻🙏🏻🙏🏻 …"
"E Y","Ya","79","1","11 bulan lalu","Ya","Agak overprice. Bukan masalah target market nya atau apapun itu. Sdh tanya harga , katanya 1 paket . Eh ternyata pas di kasir , ayam terong sambal harga nya gk sesuai. Ayam nya alot bgt. Gk meresap bumbunya. Nasi katanya goceng 5000. Ini gk …"
"Oktavianita Putri Ariza","Bukan","5","1","3 bulan lalu","Tidak","gilaaaaaa gila pesen 2 bebek 2 nasi 2 es teh 158.000 dong sambel juga ga macem2 cuma sambel tomat tp harga g ngotak sumpah"
"Fitri Olivia","Bukan","4","1","setahun lalu","Ya","Honest Review Barusan dine in bareng 5 orang …"
"Hizkia Efrat","Bukan","3","1","2 tahun lalu","Ya","Udang kek gitu 3 tusuk 40 rb ??? Es jeruk 4 100 rb ?? Satunya 25 rb ???? Tdi gw rombongan 13 org habis 1 jt 98 rb coyyy padahal makanan nya ga banyak banyak amat . Asli ini udah masuk penipuan sih"
"AMIRUDDIN FARID MUKHTADI","Ya","631","1","7 tahun lalu","Ya","Muahal.... bebek goreng 40rb/porsi, es jeruk 18rb/gelas, nasi putih 7rb/porsi, Tempat kurang nyaman... ada ruangn tertutup tp tdk ada AC cm kipas... makan pedes..cuaxa panas tmbah kmringet sumuk..."
"A Soka","Ya","22","1","2 tahun lalu","Ya","Harganya mahal bangeeet buat ukuran kaki 5, dlu waktu masih di tenda ngga semahal ini. Semalem makan ber 5 yg dipesan : 2 ayam goreng …"
"Toko listrik Rafftech","Bukan","1","1","10 bulan lalu","Ya","Es jeruk 27 RB😱,nasi 14rb,bebek 47rb..klu sekelas restoran sih wajar harga segitu tempatnya nyaman ber AC,lha ini sekelas warung harganya selangit,tempatnya juga panas ga nyaman😏bener2 ga worth it makan disini.cukup sekali dan ga bakalan balik lagi..hrganya gaa ngotak👎pntesan di buku menu ga ada hrga,, …"
"Pricillia Yuliana","Ya","40","5","2 tahun lalu","Ya","Pertama kali mencoba makan disini, dan jawabannya ENAK. Mungkin karna kami pesannya ikan kakap merah bakar sehingga harganya lumayan, tadi sedang besarnya harga 165K, sambalnya enak, setiap menu lauk, bisa dapat 1 …"
"Mai Umi Khumaidah","Bukan","4","1","4 bulan lalu","Tidak","Untuk yang lain yang mau ke sini harap di pikir"" lagi,harga ga masuk akal bgt bebek dada 3 150k, tempatnya kotor, fasilitas ga lengkap,es jeruk 27k padahal pakek jeruk nipis bulan jeruk buah,dan di buku menu tidak ada keterangan …"
"SUCI Ramadhani","Ya","10","1","4 bulan lalu","Tidak","Aku padahal ga pernah itung itungan masalah jajan dan makanan. Mahal asal enak dan kualitas sesuai tidak masalah bagi saya. …"
"Ika Shaliha Oktavia","Ya","334","4","Diedit 3 tahun lalu","Ya","Yang membuat tempat ini istimewa adalah, pilihan sambelnya banyak! Apalagi minumannya disediakan dengan gelas jumbo, pilihan lauknya juga lumayan lengkap. Beserta kondimen penyetan lainnya, seperti timun, kemangi, terong, tahu dan tempe. …"
"MALIYAKIN","Ya","236","3","9 tahun lalu","Ya","Secara Rasa 8/10 dan tempatnya cukup luas, kita bisa memilih di dalam ruangan berkaca atau di sebelah samping yang bisa langsung melihat ke jalan raya kranggan. …"
"ayu mahrezaa","Ya","85","2","7 tahun lalu","Ya","Harga gurami 70k cukup mahal jika dibandingkan dengan ukurannya, normalnya ukuran kecil itu seharga 45/55k jika diluar. …"
"Anindya Sadhana","Bukan","8","1","setahun lalu","Ya","Pertama kali kesini, nanya harga bilangnya “oh yang tau kasir sekitar 15-20ribuan” lanjut mesen minum dan free sambal. Dilihat menunya gk ada harganya. Berasa di TIPU. JANGAN KESINI LAH!!! 😔🙏🏻 dan nyeseknya jeruk 25rb gilak!!!! Maafin hanya mau jujur!!! …"
"Hyunie Qusnul","Bukan","2","1","setahun lalu","Ya","Bisa nilai ajalah ya sendiri , bukan resto tapi harga nya gong bangettttt . Nasi perporsi nya 13k . Udang di tusuk isi 4 biji 40k babat kecil2 48k bebek goreng tanpa bumbu ato apapun hanya goreng dengan harga 47k 🫠 …"
"Muhammad Sakti","Ya","34","5","setahun lalu","Ya","Mantap. Saya pesan sambal tomat dgn tingkat kepedasan medium benar2 terasa medium. Bisa dinikmati. Mantap sekalii. Semua menu kita santap sampai ludes. …"
"Rohmat (Rohmat)","Ya","253","5","3 tahun lalu","Ya","Salah satu tempat kuliner malam Surabaya yang buka hingga 24 Jam.  Terletak di dekat pasar blauran, Padin Ikan Goreng menyediakan berbagai macam …"
"Arie Amri","Ya","927","4","6 bulan lalu","Ya","Masakan enak.. Harga lumayaan, standart surabayaa.."
"Desi Setia Rini","Bukan","3","1","4 bulan lalu","Tidak","Barusan makan ikan dorang goreng sm ikan kakap bakar berdua habis 500rb😱 tempatnya kotor, banyak lalat, lalapan timun dan kol saja...wes kapok aku😅 …"
"rieke n.","Ya","10","1","setahun lalu","Ya","Dulu tinggal di sby tahun 2018 harga udah lumayan mahal. Eh sekarang lebih parah, overprice. Blas ga worth it, tempat kumuh, ngemper pinggir jalan. Mau pilih menu udah dibikin buru-buru sama mbak2nya, buka menu ga boleh, gendeng.... …"
"Farich Sadi","Ya","9","2","2 tahun lalu","Ya","makanan, oke, sambelnya masih cocok di lidah. service dari pekerja juga bagus, tanggep banget dan cepet pelayanannya. suasana sekitar juga rame, jadi enak sambil liat liat. …"
"yossi budiono","Ya","1018","1","sebulan lalu","Tidak","Tadinya mau makan disini tp lihat revisi banyak yg kecewa krn harganya nggak masuk akal jadi batal, mending makan di BG junction"
"Ahmad WR","Ya","5","1","setahun lalu","Ya","GILA SIH!! Dulu terakhir makan disini msh murmer, ko skrg malah harganya ngalah2in makan di Hotel/ resto, padahal menu dan masakan g jauh beda sama penyetan yg mangkal di pinggir jalan, tempatnya juga B aja!!! Es jeruk 25.000? Ini jeruk …"
"tere teresia","Bukan","1","1","2 tahun lalu","Ya","Baru Kali ini ksih ulasan di google. Tapi ini sangat tidak wajar. Rasa B aja. Porsi sama kyk kaki Lima. Jualan jg dipinggir jl ala kaki Lima. Tapi harga nya ga msuk akal. Makan bebek 2 Dan 1 tusuk udang. Juga Milo 1 gelas ukuran gede harga …"
"Castella Api","Bukan","2","1","4 bulan lalu","Tidak","Cukup sekali makan ditempat ini, Harga tidak masuk akal, Rasa lebih buruk dari warung jalanan ,ayam pun di goreng masih ada darahnya.harga macam restauran berbintang,"
